place	lat	long	title	date
DUNDEE	56.4584	-2.9737	SOCIALIST WINDOW-DRESSING	1950-01-03
Harriet Street	56.4717	-2.9589	Bawbee Bets Now A Penny	1950-01-03
Dundee	56.4584	-2.9737	WAS 50 YEARS IN JUTE INDUSTRY	1950-01-03
Gateside	56.5870	-2.9148	WAS 50 YEARS IN JUTE INDUSTRY	1950-01-03
Dudhope Street	56.4649	-2.9741	WAS 50 YEARS IN JUTE INDUSTRY	1950-01-03
Forfar	56.6441	-2.8890	INJURED KEEPER OFF TO-DAY	1950-01-03
Arbroath	56.5623	-2.5841	INJURED KEEPER OFF TO-DAY	1950-01-03
St Cyrus	56.7740	-2.4177	St Cyras Tallest Brides Tie	1950-01-03
27 Balmain Street	56.7089	-2.4689	St Cyras Tallest Brides Tie	1950-01-03
Montrose	56.7092	-2.4672	St Cyras Tallest Brides Tie	1950-01-03
Birkhill	56.4960	-3.0549	St Cyras Tallest Brides Tie	1950-01-03
13 Mercury Terrace	56.7732	-2.4164	St Cyras Tallest Brides Tie	1950-01-03
Inverbervie	56.8447	-2.2798	St Cyras Tallest Brides Tie	1950-01-03
Brechin	56.7322	-2.6603	St Cyras Tallest Brides Tie	1950-01-03
Clova	56.8441	-3.1045	MOUNTAIN CAMPERS CELEBRATE	1950-01-03
Broughty Ferry	56.4674	-2.8761	ENTERTAINERS TOUR THE INFIRMARY	1950-01-03
76 Balfour Street	56.4584	-2.9830	PIT WORKER IN COURT TO-DAY	1950-01-03
Dundee	56.4584	-2.9737	BIDAULT WINS BUDGET BATTLE	1950-01-03
Longforgan	56.4575	-3.1177	BIDAULT WINS BUDGET BATTLE	1950-01-03
Broughty Ferry	56.4674	-2.8761	BIDAULT WINS BUDGET BATTLE	1950-01-03
79 South Street	56.4805	-2.8147	BIDAULT WINS BUDGET BATTLE	1950-01-03
Arbroath	56.5623	-2.5841	BIDAULT WINS BUDGET BATTLE	1950-01-03
Brechin	56.7322	-2.6603	BIDAULT WINS BUDGET BATTLE	1950-01-03
Seaton Road	56.5675	-2.5702	BIDAULT WINS BUDGET BATTLE	1950-01-03
Longforgan	56.4575	-3.1177	HONOURS LIST MEANS FIVE BY-ELECTIONS	1950-01-03
9 Fort Street	56.4557	-3.0006	HONOURS LIST MEANS FIVE BY-ELECTIONS	1950-01-03
Dundee	56.4584	-2.9737	HONOURS LIST MEANS FIVE BY-ELECTIONS	1950-01-03
34 Bingham Terrace	56.4731	-2.9447	HONOURS LIST MEANS FIVE BY-ELECTIONS	1950-01-03
Dundee	56.4584	-2.9737	C.B.E. For Actor	1950-01-03
Dundee	56.4584	-2.9737	Meals-On- W heels Organiser	1950-01-03
Forfar	56.6441	-2.8890	CAR PASSENGERS OVERCOME	1950-01-03
32 Victoria Terrace	56.8420	-2.2835	CAR PASSENGERS OVERCOME	1950-01-03
Tarfside	56.9061	-2.8365	OLDEST INHABITANT OF ANGUS GLEN	1950-01-03
Dundee Road	56.6329	-2.8959	CHILD SAFETY YEAR STARTS ON RIGHT FOOT	1950-01-03
Dundee	56.4584	-2.9737	GREETINGS FROM MALTA FOR BLIND PIANIST	1950-01-03
Arbroath	56.5623	-2.5841	GREETINGS FROM MALTA FOR BLIND PIANIST	1950-01-03
Clova	56.8441	-3.1045	CLOVA PIGEON SHOOT	1950-01-03
Cortachy	56.7249	-2.9922	CLOVA PIGEON SHOOT	1950-01-03
Dundee	56.4584	-2.9737	Tennant Takes Roland All The Way	1950-01-03
Montrose	56.7092	-2.4672	MONTROSE CHURCH WEDDING	1950-01-03
Brechin	56.7322	-2.6603	PIGEONS WORTH £2000 COMPETE	1950-01-03
Gourdon	56.8281	-2.2871	PIGEONS WORTH £2000 COMPETE	1950-01-03
Broughty Ferry	56.4674	-2.8761	PIGEONS WORTH £2000 COMPETE	1950-01-03
Kirriemuir	56.6731	-3.0045	PIGEONS WORTH £2000 COMPETE	1950-01-03
Montrose	56.7092	-2.4672	PIGEONS WORTH £2000 COMPETE	1950-01-03
42 Constable Street	56.4656	-2.9609	FIREMEN HAD LITTLE TIME TO CELEBRATE	1950-01-03
1 Blackness Street	56.4600	-2.9935	FIREMEN HAD LITTLE TIME TO CELEBRATE	1950-01-03
Dundee	56.4584	-2.9737	WAR ROMANCE HAD HAPPY ENDING	1950-01-03
Johnshaven	56.7945	-2.3365	MEARNS FARMER KILLED ON ROAD	1950-01-03
Brechin	56.7322	-2.6603	PERTHSHIRE RUNNER FAILS BY A YARD	1950-01-03
Dundee	56.4584	-2.9737	ABERDEEN'S DEAF WIN CHESS SHIELD	1950-01-03
Broughty Ferry	56.4674	-2.8761	FEWER BIRTHS IN DUNDEE DURING 1949	1950-01-03
Perth Road	56.4565	-3.0159	FEWER BIRTHS IN DUNDEE DURING 1949	1950-01-03
19 Dalhousie Road	56.4733	-2.8468		1950-01-03
Broughty Ferry	56.4674	-2.8761		1950-01-03
Tannadice	56.7124	-2.8591	VIOLET'S TASK TO-DAY	1950-01-03
ARBROATH	56.5623	-2.5841	GOLF RETURNS	1950-01-03
Montrose	56.7092	-2.4672	MONTROSE BIRTHS HIGHEST FOR 60 YEARS	1950-01-03
Brechin	56.7322	-2.6603	MONTROSE BIRTHS HIGHEST FOR 60 YEARS	1950-01-03
Tannadice	56.7124	-2.8591	WHAT A NEW YEAR FOR HEARTS!	1950-01-03
Montrose	56.7092	-2.4672	WHAT A NEW YEAR FOR HEARTS!	1950-01-03
Forfar	56.6441	-2.8890	WHAT A NEW YEAR FOR HEARTS!	1950-01-03
Arbroath	56.5623	-2.5841	WHAT A NEW YEAR FOR HEARTS!	1950-01-03
Brechin	56.7322	-2.6603	WHAT A NEW YEAR FOR HEARTS!	1950-01-03
Tannadice	56.7124	-2.8591	Hat-Trick Paddy Was Headache To United	1950-01-03
Broughty Ferry	56.4674	-2.8761		1950-01-03
Dundee	56.4584	-2.9737	Dundee Didn't Hit Ibrox Form	1950-01-03
Arbroath	56.5623	-2.5841	TO-DAY'S GAMES	1950-01-03
Forfar	56.6441	-2.8890	TO-DAY'S GAMES	1950-01-03
Montrose	56.7092	-2.4672	TO-DAY'S GAMES	1950-01-03
Brechin	56.7322	-2.6603	TO-DAY'S GAMES	1950-01-03
Montrose	56.7092	-2.4672	SPOT-KICK DOWNS COWDEN	1950-01-03
Forfar	56.6441	-2.8890	Ten-a-Side At Forfar	1950-01-03
Arbroath	56.5623	-2.5841	Ten-a-Side At Forfar	1950-01-03
Montrose	56.7092	-2.4672	SAILED WITH DUNDEE WHALERS	1950-01-03
Dundee	56.4584	-2.9737	SAILED WITH DUNDEE WHALERS	1950-01-03
38 King Street	56.4658	-2.8750	MESSING CAR FOUND DAMAGED	1950-01-03
Lawside Road	56.4688	-2.9958	MESSING CAR FOUND DAMAGED	1950-01-03
Rankine Street	56.4663	-2.9954	MESSING CAR FOUND DAMAGED	1950-01-03
37 Derby Street	56.4729	-2.9799	MESSING CAR FOUND DAMAGED	1950-01-03
Strathmore Avenue	56.4749	-2.9887	MESSING CAR FOUND DAMAGED	1950-01-03
Byron Street	56.4729	-2.9875	MESSING CAR FOUND DAMAGED	1950-01-03
22 Forfar Road	56.5944	-2.6436	"Q CLUB" AIMS HIGH FOR 1950	1950-01-03
32 Kenmore Terrace	56.4700	-2.9950		1950-01-03
6 Hill Street	56.4712	-2.9797		1950-01-05
Broughty Ferry	56.4674	-2.8761		1950-01-05
4 Argyle Street	56.4768	-2.9561		1950-01-05
Dundee	56.4584	-2.9737		1950-01-05
Logie	56.7618	-2.4938	M.P. TO SELL HOME IN ANGUS	1950-01-05
Kirriemuir	56.6731	-3.0045	M.P. TO SELL HOME IN ANGUS	1950-01-05
Dundee	56.4584	-2.9737	Ex-Soccer Stars Daughter Weds	1950-01-05
Tayport	56.4465	-2.8800	Ex-Soccer Stars Daughter Weds	1950-01-05
Montrose	56.7092	-2.4672	Sixty Years Together	1950-01-05
142 Panmure Street	56.4630	-2.9705	Girl Fell Through Window With Shock	1950-01-05
South Union Street	56.4792	-2.8169	ESCAPED BOYS CAUGHT IN DUNDEE	1950-01-05
